threshold,precision,recall,f1,routed_count,routed_rate,heavy_call_reduction,tn,fp,fn,tp,model_name,model_role
0.5655814464616093,0.2068293683347006,0.6506451612903226,0.31388110799875507,9752,0.11009132884027048,0.8899086711597295,77746,7735,1083,2017,SmallRandomForest,light
0.5627173079577457,0.2045638126009693,0.6535483870967742,0.3115964318671178,9904,0.11180727243991376,0.8881927275600863,77603,7878,1074,2026,SmallRandomForest,light
0.5604701627372628,0.20286396181384247,0.6580645161290323,0.3101246579507449,10056,0.11352321603955702,0.8864767839604429,77465,8016,1060,2040,SmallRandomForest,light
0.5581742502861213,0.20080321285140562,0.6612903225806451,0.30806221353971,10209,0.1152504487418295,0.8847495512581705,77322,8159,1050,2050,SmallRandomForest,light
0.5557420333957348,0.19868763871465792,0.6641935483870968,0.30587536210354305,10363,0.11698897054673124,0.8830110294532687,77177,8304,1041,2059,SmallRandomForest,light
0.5529153556803483,0.19602623823557372,0.6651612903225806,0.3028122475952713,10519,0.11875007055689143,0.8812499294431085,77024,8457,1038,2062,SmallRandomForest,light
0.5505509323613553,0.19421023046655425,0.6687096774193548,0.3010018876143459,10674,0.12049988146442239,0.8795001185355776,76880,8601,1027,2073,SmallRandomForest,light
0.5477134354662576,0.19174286505957328,0.6696774193548387,0.2981259424140159,10827,0.12222711416669489,0.8777728858333051,76730,8751,1024,2076,SmallRandomForest,light
0.5453671332019243,0.18950915217193334,0.6712903225806451,0.2955755983239827,10981,0.12396563597159661,0.8760343640284034,76581,8900,1019,2081,SmallRandomForest,light
0.5430588223317087,0.18742703188145488,0.6732258064516129,0.2932209343168247,11135,0.12570415777649835,0.8742958422235017,76433,9048,1013,2087,SmallRandomForest,light
0.5411232554086078,0.18528031175272341,0.6748387096774193,0.2907372663470224,11291,0.12746525778665854,0.8725347422133415,76282,9199,1008,2092,SmallRandomForest,light
0.5388413577805833,0.18351830813597833,0.6774193548387096,0.2887987347864952,11443,0.1291812013863018,0.8708187986136982,76138,9343,1000,2100,SmallRandomForest,light
0.5364273988429393,0.1816300129366106,0.6793548387096774,0.2866281047975502,11595,0.13089714498594507,0.8691028550140549,75992,9489,994,2106,SmallRandomForest,light
0.5342249659687553,0.1799761620977354,0.6819354838709677,0.284790515963896,11746,0.1326017994829591,0.8673982005170409,75849,9632,986,2114,SmallRandomForest,light
0.5318534954553453,0.17809715918641789,0.6835483870967742,0.28257100946792907,11898,0.13431774308260236,0.8656822569173976,75702,9779,981,2119,SmallRandomForest,light
0.5297913140508412,0.1768171257882509,0.6874193548387096,0.28128299894403375,12052,0.13605626488750408,0.8639437351124959,75560,9921,969,2131,SmallRandomForest,light
0.5277550265593051,0.17522732858196116,0.69,0.27947997648134837,12207,0.13780607579503507,0.862193924204965,75413,10068,961,2139,SmallRandomForest,light
0.5257057923763534,0.17347681851282465,0.6916129032258065,0.2773788731483278,12359,0.13952201939467831,0.8604779806053217,75266,10215,956,2144,SmallRandomForest,light
0.523595126712637,0.17183503836317135,0.6935483870967742,0.2754291570586728,12512,0.1412492520969508,0.8587507479030492,75119,10362,950,2150,SmallRandomForest,light
