threshold,precision,recall,f1,routed_count,routed_rate,heavy_call_reduction,tn,fp,fn,tp,model_name,model_role
0.5518300810351355,0.44818243395800406,0.6403225806451613,0.5272944614158587,4429,0.04999943554486854,0.9500005644551315,83037,2444,1115,1985,HeavyRandomForest,heavy
0.5450424254322908,0.43660442900564483,0.6487096774193548,0.5219309628860628,4606,0.0519976067102426,0.9480023932897574,82886,2595,1089,2011,HeavyRandomForest,heavy
0.5384953304229366,0.42483796780263433,0.655483870967742,0.5155397691234301,4783,0.053995777875616664,0.9460042221243833,82730,2751,1068,2032,HeavyRandomForest,heavy
0.5325467136097374,0.4129032258064516,0.6606451612903226,0.5081885856079404,4960,0.05599394904099073,0.9440060509590092,82569,2912,1052,2048,HeavyRandomForest,heavy
0.5264649400093795,0.4026858699883223,0.6674193548387096,0.5023063850449138,5138,0.05800340930899403,0.9419965906910059,82412,3069,1031,2069,HeavyRandomForest,heavy
0.5206079698905984,0.39266227657572905,0.6732258064516129,0.4960190136660724,5315,0.06000158047436809,0.9399984195256319,82253,3228,1013,2087,HeavyRandomForest,heavy
0.5148461964051433,0.3823743627093955,0.6774193548387096,0.48882681564245806,5492,0.061999751639742154,0.9380002483602579,82089,3392,1000,2100,HeavyRandomForest,heavy
0.509375491258167,0.37325807020638563,0.6825806451612904,0.48260919146995096,5669,0.06399792280511622,0.9360020771948838,81928,3553,984,2116,HeavyRandomForest,heavy
0.5044055311242142,0.3640095791994526,0.6864516129032258,0.4757433489827856,5846,0.06599609397049029,0.9340039060295097,81763,3718,972,2128,HeavyRandomForest,heavy
0.500020695100447,0.35596878631911005,0.6916129032258065,0.4700208264825167,6023,0.06799426513586435,0.9320057348641356,81602,3879,956,2144,HeavyRandomForest,heavy
0.49550903057388895,0.347258064516129,0.694516129032258,0.463010752688172,6200,0.06999243630123841,0.9300075636987616,81434,4047,947,2153,HeavyRandomForest,heavy
0.49094063033928925,0.33913452492944496,0.697741935483871,0.45642540620384053,6378,0.0720018965692417,0.9279981034307583,81266,4215,937,2163,HeavyRandomForest,heavy
0.4860448283488149,0.3322654462242563,0.7025806451612904,0.45116519937856037,6555,0.07400006773461577,0.9259999322653842,81104,4377,922,2178,HeavyRandomForest,heavy
0.481314671316619,0.3253119429590018,0.7064516129032258,0.4454841334418226,6732,0.07599823889998984,0.9240017611000102,80939,4542,910,2190,HeavyRandomForest,heavy
0.47743308514950683,0.3194384136633377,0.7119354838709677,0.4410030972125088,6909,0.07799641006536391,0.922003589934636,80779,4702,893,2207,HeavyRandomForest,heavy
0.4735227379033802,0.3127293254304262,0.7148387096774194,0.4351070096210485,7086,0.07999458123073797,0.920005418769262,80611,4870,884,2216,HeavyRandomForest,heavy
0.4695606752774593,0.3070356601955115,0.7193548387096774,0.4303773038695359,7263,0.08199275239611203,0.918007247603888,80448,5033,870,2230,HeavyRandomForest,heavy
0.46562710871768237,0.3009408602150538,0.7222580645161291,0.42485768500948773,7440,0.0839909235614861,0.9160090764385139,80280,5201,861,2239,HeavyRandomForest,heavy
0.4615755677207961,0.29509057495405616,0.7251612903225807,0.41948124650121293,7618,0.0860003838294894,0.9139996161705106,80111,5370,852,2248,HeavyRandomForest,heavy
0.45794277775381714,0.28967286722257857,0.7283870967741936,0.414502065167508,7795,0.08799855499486346,0.9120014450051366,79944,5537,842,2258,HeavyRandomForest,heavy
0.4541760839692818,0.28424485699949825,0.7309677419354839,0.40932080924855496,7972,0.08999672616023752,0.9100032738397625,79775,5706,834,2266,HeavyRandomForest,heavy
0.45035652465835674,0.2790526444962572,0.7335483870967742,0.4043026046759712,8149,0.09199489732561159,0.9080051026743884,79606,5875,826,2274,HeavyRandomForest,heavy
0.4464621169880925,0.2744415085275042,0.7370967741935484,0.39996499212322767,8326,0.09399306849098565,0.9060069315090143,79440,6041,815,2285,HeavyRandomForest,heavy
0.44264763796054646,0.2701399506056686,0.7409677419354839,0.39593208652934586,8503,0.09599123965635972,0.9040087603436403,79275,6206,803,2297,HeavyRandomForest,heavy
0.43922557875655,0.2662442396313364,0.7454838709677419,0.3923599320882853,8680,0.09798941082173378,0.9020105891782663,79112,6369,789,2311,HeavyRandomForest,heavy
0.43575442679773535,0.2617972454278618,0.7480645161290322,0.38785750125439034,8858,0.09999887108973708,0.900001128910263,78942,6539,781,2319,HeavyRandomForest,heavy
0.4325699480365012,0.25688987271721087,0.7487096774193548,0.3825298722702925,9035,0.10199704225511114,0.8980029577448889,78767,6714,779,2321,HeavyRandomForest,heavy
0.4294880283077474,0.25325662179765523,0.7525806451612903,0.3789798570500325,9212,0.1039952134204852,0.8960047865795148,78602,6879,767,2333,HeavyRandomForest,heavy
0.42646336907905036,0.24997337309617637,0.7570967741935484,0.37585074865881973,9389,0.10599338458585927,0.8940066154141407,78439,7042,753,2347,HeavyRandomForest,heavy
0.42321839313009446,0.2461844030942923,0.7596774193548387,0.3718616769303648,9566,0.10799155575123333,0.8920084442487667,78270,7211,745,2355,HeavyRandomForest,heavy
0.42041815162312085,0.24243046289643846,0.7619354838709678,0.3678268317371331,9743,0.1099897269166074,0.8900102730833926,78100,7381,738,2362,HeavyRandomForest,heavy
0.4175751773985382,0.23891129032258066,0.7645161290322581,0.36405529953917054,9920,0.11198789808198147,0.8880121019180185,77931,7550,730,2370,HeavyRandomForest,heavy
0.4146480181649863,0.2354164603347529,0.766774193548387,0.36023338637569136,10097,0.11398606924735553,0.8860139307526445,77761,7720,723,2377,HeavyRandomForest,heavy
0.4118463003707629,0.23201946472019463,0.7690322580645161,0.35648598130841125,10275,0.11599552951535883,0.8840044704846411,77590,7891,716,2384,HeavyRandomForest,heavy
0.40881687761296076,0.22895139686184462,0.7719354838709678,0.35315820543093274,10452,0.1179937006807329,0.8820062993192671,77422,8059,707,2393,HeavyRandomForest,heavy
0.40585891130755586,0.22655000470411138,0.7767741935483871,0.35079029790953453,10629,0.11999187184610695,0.8800081281538931,77260,8221,692,2408,HeavyRandomForest,heavy
0.40322090236939645,0.22367203405515454,0.7796774193548387,0.34761973248957284,10806,0.12199004301148102,0.878009956988519,77092,8389,683,2417,HeavyRandomForest,heavy
0.40046746558211105,0.22115997450605482,0.7835483870967742,0.3449549101753888,10983,0.12398821417685509,0.8760117858231449,76927,8554,671,2429,HeavyRandomForest,heavy
0.3977147790204713,0.21827956989247313,0.7858064516129032,0.3416549789621318,11160,0.12598638534222914,0.8740136146577708,76757,8724,664,2436,HeavyRandomForest,heavy
0.3948986142562743,0.2154008997089177,0.787741935483871,0.3382974302140334,11337,0.1279845565076032,0.8720154434923968,76586,8895,658,2442,HeavyRandomForest,heavy
0.39231548095645397,0.2125054277029961,0.7893548387096774,0.3348614437222032,11515,0.1299940167756065,0.8700059832243935,76413,9068,653,2447,HeavyRandomForest,heavy
0.38963679107447907,0.2105713308244954,0.7941935483870968,0.3328826392644673,11692,0.13199218794098058,0.8680078120590194,76251,9230,638,2462,HeavyRandomForest,heavy
0.3870307979329503,0.20776813547897885,0.795483870967742,0.32948092724964934,11869,0.13399035910635462,0.8660096408936454,76078,9403,634,2466,HeavyRandomForest,heavy
0.38415636224445504,0.20537937904698655,0.7980645161290323,0.3266869140367093,12046,0.1359885302717287,0.8640114697282713,75909,9572,626,2474,HeavyRandomForest,heavy
0.3818023319260598,0.20305980528511822,0.8006451612903226,0.3239574495855903,12223,0.13798670143710276,0.8620132985628972,75740,9741,618,2482,HeavyRandomForest,heavy
0.379291969588469,0.20048387096774192,0.8019354838709677,0.32077419354838704,12400,0.13998487260247683,0.8600151273975232,75567,9914,614,2486,HeavyRandomForest,heavy
0.3771132669299137,0.1984575017889799,0.8051612903225807,0.3184282707150603,12577,0.1419830437678509,0.8580169562321491,75400,10081,604,2496,HeavyRandomForest,heavy
0.37463952803979145,0.1960799686397491,0.8067741935483871,0.3154840744244718,12755,0.1439925040358542,0.8560074959641458,75227,10254,599,2501,HeavyRandomForest,heavy
0.3723763467305935,0.19409217445097432,0.8096774193548387,0.31312375249500995,12932,0.14599067520122824,0.8540093247987718,75059,10422,590,2510,HeavyRandomForest,heavy
0.3698969846834993,0.1920054924097948,0.8119354838709677,0.31056820285026837,13109,0.1479888463666023,0.8520111536333976,74889,10592,583,2517,HeavyRandomForest,heavy
0.3677576326210835,0.18989914195393648,0.8138709677419355,0.307945807396558,13286,0.14998701753197638,0.8500129824680236,74718,10763,577,2523,HeavyRandomForest,heavy
0.3654514461481844,0.1877738988338409,0.8154838709677419,0.3052587091710439,13463,0.15198518869735045,0.8480148113026496,74546,10935,572,2528,HeavyRandomForest,heavy
0.36320314113176844,0.18621700879765396,0.8193548387096774,0.3034647550776583,13640,0.15398335986272452,0.8460166401372755,74381,11100,560,2540,HeavyRandomForest,heavy
0.3606317481865286,0.18455525801548817,0.8225806451612904,0.3014718921794644,13817,0.15598153102809859,0.8440184689719015,74214,11267,550,2550,HeavyRandomForest,heavy
0.3585424252848906,0.18242229367631296,0.8235483870967742,0.2986838256800234,13995,0.15799099129610186,0.8420090087038982,74039,11442,547,2553,HeavyRandomForest,heavy
0.35633930441761197,0.18035563082133785,0.824516129032258,0.29597035664659566,14172,0.15998916246147593,0.840010837538524,73865,11616,544,2556,HeavyRandomForest,heavy
0.3543675809157096,0.17847933653913164,0.8261290322580646,0.29354117714482203,14349,0.16198733362685,0.83801266637315,73693,11788,539,2561,HeavyRandomForest,heavy
0.35222745994308147,0.17671760980311166,0.8280645161290323,0.29127425394303874,14526,0.16398550479222407,0.8360144952077759,73522,11959,533,2567,HeavyRandomForest,heavy
0.3500349470898911,0.17513432632796028,0.8306451612903226,0.28927708813121383,14703,0.16598367595759814,0.8340163240424019,73353,12128,525,2575,HeavyRandomForest,heavy
0.3478146348829114,0.17318548387096774,0.8312903225806452,0.2866518353726363,14880,0.1679818471229722,0.8320181528770279,73178,12303,523,2577,HeavyRandomForest,heavy
0.3457902513920328,0.17161453144716743,0.8335483870967741,0.28462851792697025,15057,0.16998001828834625,0.8300199817116538,73008,12473,516,2584,HeavyRandomForest,heavy
0.3436257706432508,0.17006892024942566,0.8358064516129032,0.28262885192255244,15235,0.17198947855634955,0.8280105214436504,72837,12644,509,2591,HeavyRandomForest,heavy
0.3419138609418921,0.16824552296911496,0.8364516129032258,0.28014261019879,15412,0.17398764972172362,0.8260123502782764,72662,12819,507,2593,HeavyRandomForest,heavy
0.33984715236475943,0.16665597536724613,0.8380645161290322,0.27802450639413556,15589,0.1759858208870977,0.8240141791129023,72490,12991,502,2598,HeavyRandomForest,heavy
0.33804901342636756,0.16529240137003678,0.8406451612903226,0.2762641789462525,15766,0.17798399205247176,0.8220160079475283,72321,13160,494,2606,HeavyRandomForest,heavy
0.33602003030447547,0.1636454870476071,0.8416129032258064,0.27401144777608566,15943,0.17998216321784583,0.8200178367821542,72147,13334,491,2609,HeavyRandomForest,heavy
0.33382890509070584,0.16253101736972705,0.8451612903225807,0.27263267429760674,16120,0.18198033438321987,0.8180196656167802,71981,13500,480,2620,HeavyRandomForest,heavy
0.3316733354903416,0.16094986807387862,0.8461290322580645,0.27045419394751763,16297,0.18397850554859393,0.816021494451406,71807,13674,477,2623,HeavyRandomForest,heavy
0.3294345311660869,0.15969650986342943,0.8487096774193549,0.26881226053639845,16475,0.18598796581659724,0.8140120341834027,71637,13844,469,2631,HeavyRandomForest,heavy
0.3276466738178945,0.15805909200096085,0.8490322580645161,0.26650465775617654,16652,0.1879861369819713,0.8120138630180287,71461,14020,468,2632,HeavyRandomForest,heavy
0.3256516261231756,0.1568720660764157,0.8516129032258064,0.2649405389131416,16829,0.18998430814734538,0.8100156918526547,71292,14189,460,2640,HeavyRandomForest,heavy
0.3236229949528085,0.1556509467246854,0.8538709677419355,0.263304486223018,17006,0.19198247931271945,0.8080175206872806,71122,14359,453,2647,HeavyRandomForest,heavy
0.32195632250682804,0.15439678752255137,0.8558064516129033,0.2615983828822166,17183,0.19398065047809349,0.8060193495219066,70951,14530,447,2653,HeavyRandomForest,heavy
0.32016353615569754,0.15316820276497695,0.857741935483871,0.259921798631476,17360,0.19597882164346755,0.8040211783565324,70780,14701,441,2659,HeavyRandomForest,heavy
0.31834326528603685,0.15179335120031934,0.8587096774193549,0.25798323399718953,17537,0.19797699280884162,0.8020230071911584,70606,14875,438,2662,HeavyRandomForest,heavy
0.3165992204832267,0.15043748235958226,0.8596774193548387,0.25606533749699734,17715,0.19998645307684493,0.8000135469231551,70431,15050,435,2665,HeavyRandomForest,heavy
0.3147736132578955,0.14922870556673373,0.8612903225806452,0.25438262195121947,17892,0.201984624242219,0.798015375757781,70259,15222,430,2670,HeavyRandomForest,heavy
0.3128291792515618,0.1478222369804638,0.8616129032258064,0.2523501346308281,18069,0.20398279540759304,0.796017204592407,70083,15398,429,2671,HeavyRandomForest,heavy
0.3111754136375584,0.14660747561109283,0.8629032258064516,0.2506324369905369,18246,0.2059809665729671,0.794019033427033,69910,15571,425,2675,HeavyRandomForest,heavy
0.3094259020239999,0.14557889594528578,0.8651612903225806,0.24922176276541372,18423,0.20797913773834117,0.7920208622616588,69740,15741,418,2682,HeavyRandomForest,heavy
0.3075510710972873,0.1443010752688172,0.8658064516129033,0.2473732718894009,18600,0.20997730890371524,0.7900226910962848,69565,15916,416,2684,HeavyRandomForest,heavy
0.3059553331568016,0.14320711508760717,0.8674193548387097,0.24582895278146,18777,0.2119754800690893,0.7880245199309107,69393,16088,411,2689,HeavyRandomForest,heavy
0.30404480936678946,0.14191506198892112,0.867741935483871,0.24393561550668785,18955,0.21398494033709262,0.7860150596629074,69216,16265,410,2690,HeavyRandomForest,heavy
0.30243454615392973,0.14086347480660674,0.8693548387096774,0.24244332493702775,19132,0.21598311150246666,0.7840168884975334,69044,16437,405,2695,HeavyRandomForest,heavy
0.30048689440496396,0.13983116681340307,0.8709677419354839,0.24097460841626134,19309,0.21798128266784073,0.7820187173321593,68872,16609,400,2700,HeavyRandomForest,heavy
0.2989196872459767,0.1387662937493585,0.8722580645161291,0.23944036128575222,19486,0.2199794538332148,0.7800205461667852,68699,16782,396,2704,HeavyRandomForest,heavy
0.297231060079276,0.1376188780959162,0.8729032258064516,0.23775425031849934,19663,0.22197762499858886,0.7780223750014111,68524,16957,394,2706,HeavyRandomForest,heavy
0.2956677044098656,0.13659274193548387,0.8741935483870967,0.23626852659110725,19840,0.22397579616396293,0.7760242038360371,68351,17130,390,2710,HeavyRandomForest,heavy
0.29390609596638306,0.13548483788779536,0.8748387096774194,0.2346325215209586,20017,0.225973967329337,0.774026032670663,68176,17305,388,2712,HeavyRandomForest,heavy
0.29239097979971085,0.13464395364959889,0.8770967741935484,0.233450673993303,20194,0.22797213849471107,0.7720278615052889,68006,17475,381,2719,HeavyRandomForest,heavy
0.2909342721654001,0.13356567838209307,0.8777419354838709,0.23185071574642124,20372,0.22998159876271435,0.7700184012372857,67830,17651,379,2721,HeavyRandomForest,heavy
0.2892003524642594,0.13251253102340746,0.8783870967741936,0.2302845786291175,20549,0.23197976992808841,0.7680202300719116,67655,17826,377,2723,HeavyRandomForest,heavy
0.2877789469805118,0.13162211714754415,0.88,0.22899353647276086,20726,0.23397794109346248,0.7660220589065375,67483,17998,372,2728,HeavyRandomForest,heavy
0.28600304234598195,0.1306989427354925,0.8812903225806452,0.22763821189018038,20903,0.23597611225883655,0.7640238877411635,67310,18171,368,2732,HeavyRandomForest,heavy
0.2845280149824225,0.12969639468690702,0.8819354838709678,0.2261373035566584,21080,0.23797428342421062,0.7620257165757893,67135,18346,366,2734,HeavyRandomForest,heavy
