heavy_threshold,precision,recall,f1,tn,fp,fn,tp,predicted_fraud_count,light_model,heavy_model,light_recall_target,light_threshold,routed_rate
0.2018710882268409,0.18203151190077105,0.8758064516129033,0.3014154870940883,73281,12200,385,2715,14915,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.19945882974619747,0.1802016985138004,0.8761290322580645,0.2989214175654854,73125,12356,384,2716,15072,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.19705052375014448,0.17847527743121674,0.8767741935483871,0.2965791914452507,72970,12511,382,2718,15229,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.19480388999196488,0.17665410113089822,0.8767741935483871,0.29406037000973706,72813,12668,382,2718,15386,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.19188453345037212,0.17499839155890112,0.8774193548387097,0.2917985302794615,72658,12823,380,2720,15543,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.18956104707213964,0.17337579617834395,0.8780645161290322,0.2895744680851064,72503,12978,378,2722,15700,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.18714204340942694,0.17165920413697422,0.8780645161290322,0.28717624096639766,72346,13135,378,2722,15857,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.18502160896112477,0.17003871612339203,0.8783870967741936,0.2849220466673642,72190,13291,377,2723,16014,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.18302671001965573,0.16844969389648135,0.8787096774193548,0.28270458201442583,72034,13447,376,2724,16171,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.1806673445734613,0.16701371876531113,0.8796774193548387,0.28072884496602846,71880,13601,373,2727,16328,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.17838206410688162,0.1654231119199272,0.8796774193548387,0.2784784273678836,71723,13758,373,2727,16485,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.17632008469101207,0.16392260545607498,0.88,0.2763651099179414,71567,13914,372,2728,16642,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.17401423892547133,0.1624501458420144,0.8803225806451613,0.2742851399567817,71411,14070,371,2729,16799,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.17166033744205844,0.16106393017221043,0.8809677419354839,0.27233745512564816,71256,14225,369,2731,16956,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.16982814339448252,0.15964471454449833,0.8812903225806452,0.27032108049275216,71100,14381,368,2732,17113,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.1678605749459986,0.1582513028372901,0.8816129032258064,0.26833578792341684,70944,14537,367,2733,17270,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
