threshold,precision,recall,f1,tn,fp,fn,tp,predicted_fraud_count,positive_prediction_rate,trial_name,model_family
0.04982369393110275,0.1367405888930302,0.9467741935483871,0.2389675948542583,66952,18529,165,2935,21464,0.2423092988338357,xgb_d8_sqrt_weight,XGBoost
0.049187615513801575,0.1354853585427715,0.947741935483871,0.23707887835384303,66734,18747,162,2938,21685,0.24480419051489596,xgb_d8_sqrt_weight,XGBoost
0.04867321252822876,0.13413966225467822,0.9480645161290323,0.23502598960415833,66510,18971,161,2939,21910,0.24734423860647317,xgb_d8_sqrt_weight,XGBoost
0.04808342456817627,0.13294170808856756,0.9490322580645161,0.23321442726912406,66293,19188,158,2942,22130,0.24982784118490423,xgb_d8_sqrt_weight,XGBoost
0.04759739339351654,0.1316660701503221,0.9493548387096774,0.23125884016973122,66072,19409,157,2943,22352,0.2523340219685937,xgb_d8_sqrt_weight,XGBoost
0.047043051570653915,0.13041552228227163,0.9496774193548387,0.22933707252473318,65851,19630,156,2944,22574,0.2548402027522832,xgb_d8_sqrt_weight,XGBoost
0.04651419073343277,0.12918933146165995,0.95,0.2274482545566883,65630,19851,155,2945,22796,0.2573463835359727,xgb_d8_sqrt_weight,XGBoost
0.04601915553212166,0.12812269192336098,0.9512903225806452,0.22582991920971013,65413,20068,151,2949,23017,0.259841275217033,xgb_d8_sqrt_weight,XGBoost
0.04550642892718315,0.1269472415870557,0.9516129032258065,0.22401093477105327,65193,20288,150,2950,23238,0.26233616689809325,xgb_d8_sqrt_weight,XGBoost
0.045037832111120224,0.12579393836054392,0.9519354838709677,0.2222222222222222,64973,20508,149,2951,23459,0.26483105857915357,xgb_d8_sqrt_weight,XGBoost
0.04456991329789162,0.12461466998859845,0.9519354838709677,0.22038012023449463,64751,20730,149,2951,23681,0.26733723936284304,xgb_d8_sqrt_weight,XGBoost
0.044095948338508606,0.12345730661423253,0.9519354838709677,0.21856830722512313,64529,20952,149,2951,23903,0.26984342014653256,xgb_d8_sqrt_weight,XGBoost
0.043618906289339066,0.12245067153042613,0.9529032258064516,0.21701439905965325,64311,21170,146,2954,24124,0.2723383118275928,xgb_d8_sqrt_weight,XGBoost
0.04310580715537071,0.12137517456666393,0.9532258064516129,0.21533192450630328,64090,21391,145,2955,24346,0.27484449261128235,xgb_d8_sqrt_weight,XGBoost
0.042599547654390335,0.120441224356887,0.954516129032258,0.2138933063466821,63872,21609,141,2959,24568,0.2773506733949718,xgb_d8_sqrt_weight,XGBoost
0.042141951620578766,0.1194078018475937,0.9548387096774194,0.2122700706371688,63652,21829,140,2960,24789,0.2798455650760321,xgb_d8_sqrt_weight,XGBoost
0.04171023145318031,0.11842789172763984,0.9554838709677419,0.21073601081427198,63432,22049,138,2962,25011,0.2823517458597216,xgb_d8_sqrt_weight,XGBoost
0.041201941668987274,0.11746987951807229,0.9561290322580646,0.2092333756882677,63213,22268,136,2964,25232,0.2848466375407819,xgb_d8_sqrt_weight,XGBoost
0.04075596109032631,0.11644535240040858,0.9561290322580646,0.20760664005043075,62991,22490,136,2964,25454,0.2873528183244714,xgb_d8_sqrt_weight,XGBoost
0.04034667834639549,0.11547748870540582,0.9564516129032258,0.20607450653322212,62770,22711,135,2965,25676,0.2898589991081609,xgb_d8_sqrt_weight,XGBoost
0.03992690518498421,0.11448760522048035,0.9564516129032258,0.20449686185254157,62548,22933,135,2965,25898,0.2923651798918504,xgb_d8_sqrt_weight,XGBoost
0.03951617702841759,0.11355283307810107,0.9567741935483871,0.2030116358658453,62327,23154,134,2966,26120,0.29487136067553993,xgb_d8_sqrt_weight,XGBoost
0.03915797919034958,0.11263381671854833,0.9570967741935484,0.20154880782555532,62106,23375,133,2967,26342,0.2973775414592294,xgb_d8_sqrt_weight,XGBoost
0.03874562680721283,0.11173436735308512,0.9574193548387097,0.20011462090820212,61886,23595,132,2968,26563,0.29987243314028966,xgb_d8_sqrt_weight,XGBoost
0.03838667646050453,0.11088709677419355,0.9580645161290322,0.19876857181100255,61667,23814,130,2970,26784,0.3023673248213499,xgb_d8_sqrt_weight,XGBoost
0.038007307797670364,0.11012775411960748,0.9593548387096774,0.1975751536289653,61450,24031,126,2974,27005,0.30486221650241024,xgb_d8_sqrt_weight,XGBoost
0.03763734549283981,0.10922980864582951,0.9593548387096774,0.19612886207010255,61228,24253,126,2974,27227,0.3073683972860997,xgb_d8_sqrt_weight,XGBoost
0.0372566394507885,0.10845963276012824,0.9603225806451613,0.19490637684954826,61010,24471,123,2977,27448,0.30986328896716,xgb_d8_sqrt_weight,XGBoost
0.036883462220430374,0.10762558727864113,0.9606451612903226,0.19356516087097822,60789,24692,122,2978,27670,0.3123694697508495,xgb_d8_sqrt_weight,XGBoost
0.03650691360235214,0.10684450181061991,0.9612903225806452,0.1923138975831693,60570,24911,120,2980,27891,0.31486436143190977,xgb_d8_sqrt_weight,XGBoost
0.036143697798252106,0.10610372056626592,0.962258064516129,0.19113218427628628,60350,25131,117,2983,28114,0.3173818313182285,xgb_d8_sqrt_weight,XGBoost
0.03574931249022484,0.1054526204340921,0.9638709677419355,0.19010656911086365,60134,25347,112,2988,28335,0.31987672299928877,xgb_d8_sqrt_weight,XGBoost
0.03538235276937485,0.10467518823323411,0.9641935483870968,0.18884852314010425,59915,25566,111,2989,28555,0.3223603255777198,xgb_d8_sqrt_weight,XGBoost
0.035024549812078476,0.10393356035860726,0.9648387096774194,0.18765292678336154,59694,25787,109,2991,28778,0.32487779546403855,xgb_d8_sqrt_weight,XGBoost
